"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD3D",0,3.79999718055627,0.886,0.099,0
"IL32",0,2.46581261887413,0.867,0.191,0
"CD3E",0,2.93482483264606,0.773,0.156,0
"IL7R",0,3.27254170540548,0.636,0.134,0
"LDHB",0,2.09841899861175,0.884,0.435,0
"CD2",0,3.05998823019015,0.519,0.087,0
"LCK",0,2.20593207278966,0.561,0.131,0
"LTB",0,1.34645626483473,0.876,0.506,0
"CD7",0,1.1135963889025,0.538,0.172,0
"NOSIP",0,1.89695327977472,0.597,0.236,0
"AES",0,1.40220742719628,0.661,0.301,0
"PTPRCAP",0,0.554677401381438,0.809,0.45,0
"CD27",0,3.13103261667533,0.398,0.057,0
"GIMAP7",0,1.00867372284548,0.692,0.365,0
"CD3G",0,3.14360359996181,0.371,0.045,0
"EVL",0,1.06544432713754,0.665,0.381,0
"GIMAP5",0,2.1295331720178,0.415,0.138,0
"TRAT1",0,3.66080097725405,0.3,0.027,0
"PIK3IP1",0,2.12811185186154,0.378,0.107,0
"RARRES3",0,0.939343314156248,0.597,0.328,0
"PRDX2",0,1.53029416862229,0.415,0.148,0
"LAT",0,2.17777042780258,0.344,0.077,0
"AQP3",0,3.87420411656506,0.29,0.026,0
"SPOCK2",0,2.41755475235318,0.331,0.069,0
"IFITM1",0,0.846114897008959,0.597,0.339,0
"PRKCQ-AS1",0,3.38525695107162,0.286,0.034,0
"ACAP1",0,1.54178353336989,0.418,0.17,0
"CCR7",0,2.33974815341515,0.311,0.064,0
"IL2RG",0,0.786110779165842,0.554,0.311,0
"TCF7",0,2.1231662911809,0.344,0.105,0
"C12orf57",0,1.57102185564446,0.413,0.174,0
"DNAJB1",0,1.7666815691333,0.401,0.167,0
"ZFP36L2",0,1.0950477210681,0.76,0.528,0
"RGCC",0,1.73623915784418,0.338,0.107,0
"TMEM66",0,1.08723199248812,0.845,0.614,0
"PEBP1",0,1.06539186526484,0.489,0.258,0
"LEF1",0,2.85792471190037,0.272,0.042,0
"LEPROTL1",0,1.69822883344112,0.366,0.137,0
"HSPA8",0,0.843672335280189,0.782,0.553,0
"CXCR4",0,0.511963207615846,0.707,0.479,0
"OCIAD2",0,1.63559266752554,0.332,0.105,0
"CD69",0,0.957478428782814,0.466,0.24,0
"FLT3LG",0,2.61673313926486,0.277,0.053,0
"TMEM123",0,0.933743426202187,0.528,0.312,0
"TRAF3IP3",0,0.978606699504075,0.583,0.367,0
"MAL",0,4.38402128783049,0.234,0.019,0
"RPSAP58",0,0.854024014536422,0.836,0.621,0
"RHOH",0,1.29873897038928,0.348,0.138,0
"HINT1",0,0.72701486624022,0.738,0.531,0
"GIMAP4",0,1.11177300410003,0.555,0.35,0
"EIF4A2",0,0.67452226646387,0.734,0.533,0
"ARHGAP15",0,1.30690358472523,0.37,0.17,0
"CD8B",0,4.79235086474009,0.22,0.021,0
"GZMM",0,0.481442446349917,0.335,0.14,0
"SOD1",0,0.81358109745293,0.6,0.412,0
"SIT1",0,2.35154641625812,0.23,0.046,0
"NPM1",0,0.946813208934671,0.915,0.732,0
"GYPC",0,1.0740224896094,0.375,0.198,0
"MZT2A",0,1.26325938590718,0.343,0.167,0
"ITM2A",0,2.99359518366214,0.209,0.033,0
"BIN1",0,1.0103891194353,0.332,0.157,0
"SNRPD2",0,0.702707979438816,0.648,0.478,0
"LDLRAP1",0,3.1293148555809,0.206,0.037,0
"CALM1",0,0.521358286633638,0.755,0.588,0
"PPA1",0,0.980436504358625,0.393,0.227,0
"CD40LG",0,3.37228040377266,0.181,0.017,0
"FYB",0,0.626146620521595,0.446,0.283,0
"DUSP2",0,1.15297125627623,0.335,0.173,0
"DDX5",0,0.620971463388472,0.889,0.727,0
"NDFIP1",0,1.04211179760938,0.399,0.24,0
"BTG2",0,0.827947821930582,0.436,0.277,0
"PPP2R5C",0,1.27744274651724,0.317,0.159,0
"JUN",0,0.82098313516483,0.816,0.659,0
"PIM1",0,1.2521747829491,0.258,0.102,0
"C6orf48",0,0.771943782964189,0.618,0.462,0
"CMPK1",0,0.788278908090102,0.449,0.294,0
"MGAT4A",0,2.41997604716142,0.2,0.045,0
"SEPT1",0,1.13153346236706,0.305,0.15,0
"CD6",0,2.77114421309563,0.182,0.029,0
"AAK1",0,1.87782125854559,0.216,0.064,0
"PBXIP1",0,1.64457391152775,0.232,0.082,0
"OXNAD1",0,2.45404817888697,0.187,0.037,0
"ANXA2R",0,1.03222151267496,0.248,0.098,0
"ANKRD12",0,0.848893564402078,0.362,0.212,0
"CD8A",0,2.54607720710902,0.186,0.04,0
"RPL22",0,0.616921160446306,0.879,0.735,0
"TTC39C",0,2.15149113961657,0.201,0.057,0
"SUSD3",0,2.07972904795985,0.21,0.066,0
"TNFAIP8",0,0.971508846401362,0.322,0.179,0
"SLC2A3",0,1.16785920037117,0.318,0.177,0
"GLTSCR2",0,0.629197957880404,0.899,0.759,0
"MYL12A",0,0.450824412914191,0.939,0.8,0
"MYC",0,1.11411511396166,0.21,0.076,0
"PSIP1",0,1.10857049994017,0.251,0.118,0
"COMMD6",0,0.572035895424026,0.663,0.531,0
"RPS21",0,0.577855509568395,0.927,0.795,0
"TRABD2A",0,3.01909661279919,0.156,0.027,0
"NGFRAP1",0,1.09386511930985,0.151,0.022,0
"OPTN",0,1.52988313195652,0.203,0.075,0
"TOMM7",0,0.565869818704978,0.838,0.711,0
"GZMK",0,2.56930479732957,0.172,0.046,0
"RPS29",0,0.98324520313297,0.985,0.86,0
"RORA",0,1.94449244443922,0.174,0.051,0
"LYAR",0,0.704135849618718,0.24,0.117,0
"NUCB2",0,1.84703235229151,0.173,0.051,0
"BCL11B",0,2.66670793067191,0.138,0.017,0
"SELM",0,1.67036587713083,0.16,0.039,0
"BTG1",0,0.70811056598178,0.937,0.817,0
"BEX2",0,1.29528756758827,0.164,0.044,0
"SVIP",0,1.0470330853572,0.189,0.071,0
"RPS26",0,0.732500017482569,0.969,0.853,0
"STMN3",0,1.62443054464109,0.16,0.045,0
"RGL4",0,1.9544988276456,0.164,0.049,0
"SH3YL1",0,2.08088201307569,0.153,0.038,0
"LINC00861",0,2.4116362567078,0.142,0.029,0
"TC2N",0,1.82787981810057,0.155,0.046,0
"RCAN3",0,1.86726146259287,0.159,0.052,0
"LINC00176",0,4.39944880061338,0.111,0.005,0
