"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.79999718055627,0.886,0.099,0,"T_cells","CD3D"
0,2.46581261887413,0.867,0.191,0,"T_cells","IL32"
0,2.93482483264606,0.773,0.156,0,"T_cells","CD3E"
0,3.27254170540548,0.636,0.134,0,"T_cells","IL7R"
0,2.09841899861175,0.884,0.435,0,"T_cells","LDHB"
0,3.05998823019015,0.519,0.087,0,"T_cells","CD2"
0,2.20593207278966,0.561,0.131,0,"T_cells","LCK"
0,1.34645626483473,0.876,0.506,0,"T_cells","LTB"
0,1.1135963889025,0.538,0.172,0,"T_cells","CD7"
0,1.89695327977472,0.597,0.236,0,"T_cells","NOSIP"
0,1.40220742719628,0.661,0.301,0,"T_cells","AES"
0,0.554677401381438,0.809,0.45,0,"T_cells","PTPRCAP"
0,3.13103261667533,0.398,0.057,0,"T_cells","CD27"
0,1.00867372284548,0.692,0.365,0,"T_cells","GIMAP7"
0,3.14360359996181,0.371,0.045,0,"T_cells","CD3G"
0,1.06544432713754,0.665,0.381,0,"T_cells","EVL"
0,2.1295331720178,0.415,0.138,0,"T_cells","GIMAP5"
0,3.66080097725405,0.3,0.027,0,"T_cells","TRAT1"
0,2.12811185186154,0.378,0.107,0,"T_cells","PIK3IP1"
0,0.939343314156248,0.597,0.328,0,"T_cells","RARRES3"
0,1.53029416862229,0.415,0.148,0,"T_cells","PRDX2"
0,2.17777042780258,0.344,0.077,0,"T_cells","LAT"
0,3.87420411656506,0.29,0.026,0,"T_cells","AQP3"
0,2.41755475235318,0.331,0.069,0,"T_cells","SPOCK2"
0,0.846114897008959,0.597,0.339,0,"T_cells","IFITM1"
0,3.38525695107162,0.286,0.034,0,"T_cells","PRKCQ-AS1"
0,1.54178353336989,0.418,0.17,0,"T_cells","ACAP1"
0,2.33974815341515,0.311,0.064,0,"T_cells","CCR7"
0,0.786110779165842,0.554,0.311,0,"T_cells","IL2RG"
0,2.1231662911809,0.344,0.105,0,"T_cells","TCF7"
0,1.57102185564446,0.413,0.174,0,"T_cells","C12orf57"
0,1.7666815691333,0.401,0.167,0,"T_cells","DNAJB1"
0,1.0950477210681,0.76,0.528,0,"T_cells","ZFP36L2"
0,1.73623915784418,0.338,0.107,0,"T_cells","RGCC"
0,1.08723199248812,0.845,0.614,0,"T_cells","TMEM66"
0,1.06539186526484,0.489,0.258,0,"T_cells","PEBP1"
0,2.85792471190037,0.272,0.042,0,"T_cells","LEF1"
0,1.69822883344112,0.366,0.137,0,"T_cells","LEPROTL1"
0,0.843672335280189,0.782,0.553,0,"T_cells","HSPA8"
0,0.511963207615846,0.707,0.479,0,"T_cells","CXCR4"
0,1.63559266752554,0.332,0.105,0,"T_cells","OCIAD2"
0,0.957478428782814,0.466,0.24,0,"T_cells","CD69"
0,2.61673313926486,0.277,0.053,0,"T_cells","FLT3LG"
0,0.933743426202187,0.528,0.312,0,"T_cells","TMEM123"
0,0.978606699504075,0.583,0.367,0,"T_cells","TRAF3IP3"
0,0.854024014536422,0.836,0.621,0,"T_cells","RPSAP58"
0,1.29873897038928,0.348,0.138,0,"T_cells","RHOH"
0,0.72701486624022,0.738,0.531,0,"T_cells","HINT1"
0,1.11177300410003,0.555,0.35,0,"T_cells","GIMAP4"
0,0.67452226646387,0.734,0.533,0,"T_cells","EIF4A2"
0,1.30690358472523,0.37,0.17,0,"T_cells","ARHGAP15"
0,0.481442446349917,0.335,0.14,0,"T_cells","GZMM"
0,0.81358109745293,0.6,0.412,0,"T_cells","SOD1"
0,0.946813208934671,0.915,0.732,0,"T_cells","NPM1"
0,1.0740224896094,0.375,0.198,0,"T_cells","GYPC"
0,1.26325938590718,0.343,0.167,0,"T_cells","MZT2A"
0,1.0103891194353,0.332,0.157,0,"T_cells","BIN1"
0,0.702707979438816,0.648,0.478,0,"T_cells","SNRPD2"
0,0.521358286633638,0.755,0.588,0,"T_cells","CALM1"
0,0.980436504358625,0.393,0.227,0,"T_cells","PPA1"
0,0.626146620521595,0.446,0.283,0,"T_cells","FYB"
0,1.15297125627623,0.335,0.173,0,"T_cells","DUSP2"
0,0.620971463388472,0.889,0.727,0,"T_cells","DDX5"
0,1.04211179760938,0.399,0.24,0,"T_cells","NDFIP1"
0,0.827947821930582,0.436,0.277,0,"T_cells","BTG2"
